"Country","Newly_Displaced_2013"
"Philippines",7227969
"China",5422343
"India",2142271
"Bangladesh",1159829
"Vietnam",1040561
"Indonesia",427422
"United States",397686
"Japan",378760
"Pakistan",371535
"Sri Lanka",324236
"Sudan",319746
"Myanmar",223000
"Niger",200961
"Mozambique",185897
"Kenya",180282
"Mexico",158330
"Ethiopia",149179
"Cambodia",144496
"Chad",133163
"Canada",120240
"Nigeria",117420
"South Sudan",115783
"Brazil",83255
"Korea, Democratic People's Republic of (North)",82000
"Somalia",63100
"Germany",52549
"Zimbabwe",43809
"Malaysia",42626
"Malawi",33000
"Colombia",31702
"Ghana",30646
"Uganda",30219
"Russian Federation",29198
"Paraguay",28000
"Peru",27827
"Czech Republic",26438
"Mali",23500
"Taiwan (contested sovereignty, China)",22146
"United Kingdom",20252
"Madagascar",20000
"Namibia",17915
"Central African Republic",17907
"South Africa",17802
"Benin",16189
"Afghanistan",15890
"Dominican Republic",14251
"Senegal",13300
"Thailand",13242
"Australia",13132
"Nepal",12474
"Palestine",10650
"Cameroon",10000
"Lao People's Democratic Republic",9665
"Yemen",8900
"Sierra Leone",8437
"Iraq",7873
"Ecuador",7540
"France",6962
"Argentina",6900
"Zambia",5511
"Iran, Islamic Republic of",4720
"Bolivia",4709
"Saudi Arabia",4700
"Mauritania",4467
"Korea, Republic of (South)",4233
"Congo,Democratic Republic of",4155
"Italy",3737
"Chile",3640
"Angola",3550
"Solomon Islands",3500
"Libya",3000
"Spain",2590
"Saint Vincent and the Grenadines",2325
"El Salvador",2300
"Gabon",1885
"Burkina Faso",1763
"Panama",1723
"Rwanda",1663
"Macedonia, the former Yugoslav Republic of",1636
"Georgia",1525
"Palau",1500
"Hungary",1254
"Botswana",1241
"Timor-Leste",1230
"Saint Lucia",1200
"Haiti",1143
"Seychelles",1058
"Austria",1000
"Kosovo (contested sovereignty, Serbia)",1000
"Uruguay",1000
